conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,IKT-Datenklassifizierung steuern,released,skill/competence,sector-specific,,Überwachen des Klassifizierungssystems eines Unternehmens zur Organisation seiner Daten. Zuweisen eines Dateneigentümers für jedes (Massen-)Datenkonzept und Ermitteln des Werts jeder Dateneinheit.,http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956,"Verwaltung, Sammlung und Speicherung digitaler Daten | IKT-Datenarchitektur verwalten"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,Informationsstruktur,released,knowledge,sector-specific,,"Art der Infrastruktur, die das Format der Daten definiert: halbstrukturiert, unstrukturiert und strukturiert.",http://data.europa.eu/esco/isced-f/0612,Design und Verwaltung von Datenbanken und Netzwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,temporäre IKT-Netze für Live-Auftritte verwalten,released,skill/competence,occupation-specific,,"Verwalten der Einrichtung von Netzwerken für die Verteilung von Steuersignalen für Bühnen- und Veranstaltungsanwendungen. Koordination mit den verschiedenen Nutzern/Nutzerinnen. Bestimmen und Einrichten der Ausrüstung, Kabel, Verbindungen und Geräte. Konfigurieren, Testen und Überwachen der Ausrüstung und der Leistung des Netzes. Zu den Steuersignalen gehören zum Beispiel DMX, RDM, MIDI, Timecode, Tracking- und Positionsdaten, aber auch Audio-, Video- und Positionssignale.
	",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,Einrichten von Computersystemen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,beim digitalen Wandel industrieller Prozesse auf dem neuesten Stand sein,released,skill/competence,sector-specific,,"Informieren über die neuesten digitalen Innovationen für industrielle Prozesse. Berücksichtigen dieser Transformationen in den Prozessen des Unternehmens mit dem Ziel, Geschäftsmodelle wettbewerbsfähig und profitabel zu gestalten.",http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,Beobachtung von Entwicklungen in einem Fachgebiet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,Büroausstattung aufstellen und einrichten,released,skill/competence,occupation-specific,,"Anschließen verschiedener Bürogeräte wie Modems, Scanner und Drucker an das Stromnetz und Durchführen eines Potenzialausgleichs, um gefährliche Potenzialdifferenzen zu vermeiden. Überprüfen der Installation auf ihre einwandfreie Funktion. Überwachen der Einstellungen und Vorbereiten des Geräts für den Gebrauch.",http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,Wahrnehmung allgemeiner Büro- und Verwaltungsaufgaben
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,released,knowledge,sector-specific,,"Techniken und Grundsätze der Softwareentwicklung wie Analyse, Algorithmen, Programmierung, Testen und Kompilieren von Programmparadigmen in der SAS language.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/skill/ad59afe4-6f8a-4bc4-acfd-0f228277508a,Entwicklung und Analyse von Software und Anwendungen | Computerprogrammierung | Software für statistische Analysesysteme
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,anwendungsspezifische Schnittstelle verwenden,released,skill/competence,sector-specific,,"Verstehen und Verwenden von Schnittstellen, die speziell für eine Anwendung oder einen Anwendungsfall entwickelt wurden.",http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,Arbeiten mit Computern
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,elektrische Anlagen konstruieren,released,skill/competence,cross-sector,Elektroanlagen konstruieren,"Skizzieren und Konstruieren von elektrischen Anlagen, Produkten und Bauteilen mithilfe von CAD-Software und -Ausrüstung. Skizzieren von Layouts für die Schalttafelanordnung, elektrischen Schaltplänen, elektrischen Anschlussdiagrammen und anderen Montagedetails.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,Entwurf elektrischer oder elektronischer Systeme oder Ausrüstungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,Firewall-Regeln definieren,released,skill/competence,sector-specific,,"Festlegen von Regeln für eine Reihe von Komponenten, um den Zugang zwischen Netzwerkgruppen oder einem bestimmten Netzwerk und dem Internet zu beschränken.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,Schützen von IKT-Geräten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,Lagerdatenerfassungssysteme bedienen,released,skill/competence,sector-specific,,"Bedienen von Systemen zum Erfassen von Produkten, Verpackungen und Auftragsdaten in bestimmten Formaten und Arten von Datensätzen.",http://data.europa.eu/esco/skill/7afb5a64-e574-421a-bb3a-7a7bc108d2a5 | http://data.europa.eu/esco/skill/06fdd94c-292d-49e3-9c78-bbcbc2088232,Arbeiten in Warenlagern durchführen | Führen betrieblicher Aufzeichnungen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,CryEngine,released,knowledge,sector-specific,,"Die Spiel-Engine CryEngine ist ein Software-Framework, das aus integrierten Entwicklungsumgebungen und speziellen Designwerkzeugen besteht, die für die schnelle Iteration von Computerspielen der Nutzer konzipiert wurden.",http://data.europa.eu/esco/skill/966f2fd3-3de6-42da-b87c-da924c6d7960 | http://data.europa.eu/esco/isced-f/0211,Videospielerstellungssysteme | Audiovisuelle Techniken und Medienproduktion
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,CAD-Technik für Sohlen verwenden,released,skill/competence,sector-specific,,"Digitalisieren und Scannen der Leisten. Arbeiten mit Dateien in verschiedenen CAD-Systemen. Erstellen von 3-D-Modellen für Sohlen und von computergestützten 2-D-Designs. Klassifizieren und Ermitteln der Größenklassen. Erstellen technischer Spezifikationen für die Fertigung. Erstellen von EDV-gestützten 2-D- und 3-D-Designentwürfen und technischen Zeichnungen von Formen für vulkanisierte und eingespritzte Sohlen. Exportieren der Dateien der virtuellen Modelle in 3-D-Drucker, CAM- oder CNC-Systeme.",http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b | http://data.europa.eu/esco/skill/b34e2ba1-9080-48c9-9b42-ee9192a4d3f1,Nutzung computergestützter Tools zum Konstruieren und Zeichnen | CAD-Software nutzen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,3D-Umgebungen erschaffen,released,skill/competence,sector-specific,,"Entwickeln einer computergenerierten 3-D-Darstellung eines Settings wie beispielsweise einer simulierten Umgebung, in der die Nutzer interagieren.",http://data.europa.eu/esco/skill/f5b33464-4df9-4cf3-b468-b0a2d6b3ee85 | http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"3D-Grafiksoftware anwenden | Entwurf von industriellen Materialien, Systemen oder Produkten"
