conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5,knowledge,sector-specific,Datenmodelle,,,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/member-skills",Zum Strukturieren der Datenelemente und Aufzeigen der Beziehungen zwischen ihnen verwendete Techniken und vorhandene Systeme sowie Methoden zum Interpretieren von Datenstrukturen und -beziehungen.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fed2fe77-623b-42f7-9d46-a2e5454f069a,knowledge,cross-sector,Laser,,,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Produkte, die durch die optische Verstärkung der stimulierten Emission elektromagnetischer Strahlung Licht erzeugen können, beispielsweise Gaslaser, Festkörperlaser, Faserlaser, Photonenlaser und Halbleiterlaser. Die räumliche und zeitliche Kohärenz von Lasern ermöglicht sowohl die Konzentration von Licht an einem Ort, z. B. bei Laserpointern, als auch die zeitliche Konzentration von Licht, sodass ein Laserstrahl in wesentlich kürzerer Zeit als anderes Licht erzeugt und auch in einer einzelnen Lichtfarbe emittiert werden kann."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fed5b267-73fa-461d-9f69-827c78beb39d,knowledge,sector-specific,Theatertechniken,,,released,2023-02-24T10:48:31.243Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Techniken, die die erfolgreiche Vorstellung eines Stücks erleichtern.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/feda7c1a-7339-4d1a-a705-4123e4a2df3e,skill/competence,occupation-specific,Farbzutaten wiegen,,,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Wiegen von Zutaten, z. B. Gummi, zur Zubereitung von Firnissen, damit sie den Spezifikationen entsprechen.
   "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fedabb92-9da0-4f8c-b22d-4450556a1737,skill/competence,occupation-specific,Übersetzungstechniken lehren,Übersetzungstechniken unterrichten,,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Unterrichtung von Studierenden oder künftigen Übersetzern in Übersetzungstheorie und -praxis, insbesondere in den Bereichen Textübersetzung, Textmodulation, Lehnübersetzung und Translation."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fee2170c-3856-453c-a244-7b600a462507,knowledge,cross-sector,Teppicharten,,,released,2024-02-09T17:29:14.494Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Verschiedene Sorten von Teppichen auf der Grundlage von Material, Fertigungsmethode, Rückenmaterial, Verlegungstechniken, Kosten, Haltbarkeit, Optik und weiterer Kriterien."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fee54dc3-c3da-42c7-aaf6-7dcef8e7f181,knowledge,cross-sector,Aluminiumoxid-Keramik,,,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Aluminiumoxid, auch Tonerde genannt, ist ein aus der Verbindung von Sauerstoff und Aluminium heraus entstandenes Keramikmaterial mit zahlreichen Eigenschaften, die sich für den Einsatz als Werkstoff für Isolierzwecke eignen, z. B. Härte, geringe elektrische Leitfähigkeit und Wasserunlöslichkeit."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fef18610-c8ca-431b-9ca8-d3d0cdffde72,skill/competence,sector-specific,Internet-Chats nutzen,,,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/member-skills","Führen von Online-Chats über spezielle Chat-Websites, Messenger-Dienste oder Social-Media-Websites."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fef20fea-bb6d-4423-9b19-c28e225081a8,skill/competence,cross-sector,Medizinprodukte warten,"medizinische Produkte warten
medizinische Geräte warten",,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Sicherstellen, dass alle Medizinprodukte und -anwendungen ordnungsgemäß gelagert und gepflegt werden, damit sie ihre Funktionalität und ihr Aussehen beibehalten."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fef5a450-6230-4a34-b3e3-764252dbdcec,skill/competence,cross-sector,Sonderangebote erarbeiten,"Sonderangebote ausarbeiten
Sonderaktionen erarbeiten
Sonderangebote erstellen
Sonderaktionen gestalten",,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Planen und Erarbeiten von Werbeaktionen zur Förderung des Absatzes.
